,strategy_return,benchmark_return
2021-05-31,0.027886749858742208,0.0154394937000355
2021-06-30,0.00773824110863402,0.0036224098632717805
2021-07-31,0.018054812318601725,0.013808365966647251
2021-08-31,0.03886397330742635,0.022851352757064847
2021-09-30,-0.06462173666624813,-0.044625072741256155
2021-10-31,0.04184723677352323,0.06542362590730977
2021-11-30,0.004354229713549838,-0.020653217076458397
2021-12-31,0.030784607548597163,0.052018783494498955
2022-01-31,-0.005048070478223815,-0.03409833119489003
2022-02-28,-0.0026813219353596833,-0.022230051562720288
2022-03-31,0.03357076404889,0.041895182441556544
2022-04-30,0.04625181946052753,-0.0665514597173853
2022-05-31,0.030879608632473608,0.006593884553664386
2022-06-30,0.050277433087471984,-0.09559282223190979
2022-07-31,-0.037496953358792814,0.07790116934076408
2022-08-31,0.0302210635066063,-0.03127245640597731
2022-09-30,0.05289449615319971,-0.1015958042603915
2022-10-31,-0.012016750412509497,0.07769170275381221
2022-11-30,-0.06808304281541734,0.0580459794317969
2022-12-31,-0.00815100709585489,-0.055400453683268625
2023-01-31,-0.014042620646636333,0.057651221776844785
2023-02-28,-0.0017786843735779021,-0.0342146847280248
2023-03-31,0.002220129139912624,0.012452633366997423
2023-04-30,-0.0003475014549210892,0.014075918851468083
2023-05-31,0.026178388646834107,-0.028861478507022476
2023-06-30,0.02445565874287228,0.05977042148485645
2023-07-31,-0.007312047186779418,0.03275206169145917
2023-08-31,-0.007458062667762725,-0.02316803436586834
2023-09-30,-0.023867366066958346,-0.04814409540747544
2023-10-31,-0.010500338004001773,-0.025997729553897342
2023-11-30,0.0070769234672340255,0.07689726754529191
2023-12-31,-0.02441293460864682,0.03807908350184208
2024-01-31,0.008567536805522519,-0.003956821088424545
2024-02-29,0.021027670400940206,0.04244907545350918
2024-03-31,0.01094018016766132,0.0345093647755621
2024-04-30,-0.027530027669259317,-0.03826390664398116
2024-05-31,0.022584714525950608,0.03643494600336217
2024-06-30,-0.007167339782554359,-0.00011423360899376345
2024-07-31,0.020949124637560716,0.03183473616312926
2024-08-31,0.01539199368171892,0.027191889070474984
2024-09-30,0.02040593809547974,0.017944343322976453
2024-10-31,-0.011871494310535453,-0.013704310630651029
2024-11-30,0.04102207386083955,0.057463895017185074
2024-12-31,-0.047878095403076804,-0.06297295479268283
2025-01-31,0.026536637292577894,0.03539597476571621
2025-02-28,-0.01912108447966466,0.004854862969953855
2025-03-31,-0.022072986497828594,-0.03645537104117158
2025-04-30,-0.011104855173487086,-0.028241650801848928
2025-05-31,-0.03771100451815079,0.03719865075023754
2025-06-30,-0.019923151959291615,0.025153189793532205
2025-07-31,0.007794472224869508,0.009247085976941127
2025-08-31,-0.010150139679786131,0.02415569882151347
2025-09-30,0.023801437943860936,0.013549497875262606
2025-10-31,-0.0008955832740637631,-0.004812190361026869
2025-11-30,-0.004020826191752582,0.013875721068356883
